"","category","name","price","ratings","no_of_reviews"
"74","GamingAccessories","Dell U2422HE UltraSharp USB-C 24 Inch Full HD (1920x1080) Monitor, 60Hz, IPS, 5ms, 100% sRGB, 3x USB-C, 2x DisplayPort, HDMI, 4x USB, RJ45, 3 Year Warranty, Silver","275.","3.9 out of 5 stars","223"
"75","GamingAccessories","iiyama XUB2494HSU-B2 24 Inch VA LCD with Slim Bezel, 4ms, Full HD 1920 x 1080,1x HDMI,1 x DisplayPort, 2 x USB, 2 x 2W Speakers","108.","4.2 out of 5 stars","26"
"76","GamingAccessories","Acer CBA242YHbirf 24-inch Monitor - VA Panel, 1920 x 1080, 4ms, 100Hz, FreeSync, HDMI, VGA, Height Adjustable","94.","4.0 out of 5 stars","3"
"77","GamingAccessories","HP OMEN X 25f 240 Hz Full HD Gaming Monitor (1920 x 1080),(1 DP, 2 HDMI, 2 USB), Black","155.","4.2 out of 5 stars","380"
"78","GamingAccessories","HP v24i Full HD Monitor (1920 x 1080) 23.8 Inch (1 VGA, 1 HDMI) - Black","178.",NA,"829"
"79","GamingAccessories","Samsung S24A400VEU - S40VA Series - LED monitor - 24"" - 1920 x 1080 Full HD (1080p) @ 75 Hz - IPS - 250 cd/m² - 1000:1-5 ms - HDMI, VGA, DisplayPort - speakers - black","83.",NA,"28"
"80","GamingAccessories","BenQ ZOWIE XL2411K Gaming Monitor FHD 1080p (24 inch, 144 Hz, 1ms, DyAc, XL Setting to Share)","80.",NA,"3,349"
"81","GamingAccessories","X= XG24CURV 23.8"" Curved Full HD VA 75Hz Adaptive-Sync/FreeSync HDMI Gaming Monitor with Speakers","152.",NA,"549"
"82","GamingAccessories","MSI PRO MP2412 23.8 Inch Monitor, Full HD (1920 x 1080), 100Hz, VA, 4ms, FreeSync, HDMI, VGA, Anti-Glare, Anti-Flicker, Less Blue light, TÜV Certified, VESA, Kensington, Black","92.",NA,"399"
"83","GamingAccessories","Dell P2423 24 Inch WUXGA (1920x1200) 16:10 Monitor, 60Hz, IPS, 5ms, 99% sRGB, DisplayPort, HDMI, DVI, VGA, 5x USB, 3 Year Warranty, Black","99.",NA,"1,555"
